date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2018-01-01,39,,,,
2018-01-02,50,,,,
2018-01-03,50,,,,
2018-01-04,46,,,,
2018-01-05,46,,,,
2018-01-06,42,,,,
2018-01-07,40,80.0,False,0.8,32.0
2018-01-08,45,80.0,,0.8,36.0
2018-01-09,43,80.0,,0.8,34.4
2018-01-10,43,80.0,,0.8,34.4
2018-01-11,52,80.0,,0.8,41.6
2018-01-12,40,80.0,,0.8,32.0
2018-01-13,35,80.0,,0.8,28.0
2018-01-14,33,100.0,False,1.0,33.0
2018-01-15,31,100.0,,1.0,31.0
2018-01-16,71,100.0,,1.0,71.0
2018-01-17,100,100.0,,1.0,100.0
2018-01-18,65,100.0,,1.0,65.0
2018-01-19,47,100.0,,1.0,47.0
2018-01-20,37,100.0,,1.0,37.0
2018-01-21,32,67.0,False,0.67,21.44
2018-01-22,40,67.0,,0.67,26.8
2018-01-23,39,67.0,,0.67,26.130000000000003
2018-01-24,39,67.0,,0.67,26.130000000000003
2018-01-25,38,67.0,,0.67,25.46
2018-01-26,36,67.0,,0.67,24.12
2018-01-27,30,67.0,,0.67,20.1
2018-01-28,29,72.0,False,0.72,20.88
2018-01-29,27,72.0,,0.72,19.439999999999998
2018-01-30,33,72.0,,0.72,23.759999999999998
2018-01-31,36,72.0,,0.72,25.919999999999998
2018-02-01,57,72.0,,0.72,41.04
2018-02-02,81,72.0,,0.72,58.32
2018-02-03,54,72.0,,0.72,38.879999999999995
2018-02-04,43,86.0,False,0.86,36.98
2018-02-05,80,86.0,,0.86,68.8
2018-02-06,100,86.0,,0.86,86.0
2018-02-07,64,86.0,,0.86,55.04
2018-02-08,52,86.0,,0.86,44.72
2018-02-09,43,86.0,,0.86,36.98
2018-02-10,34,86.0,,0.86,29.24
2018-02-11,32,45.0,False,0.45,14.4
2018-02-12,32,45.0,,0.45,14.4
2018-02-13,30,45.0,,0.45,13.5
2018-02-14,35,45.0,,0.45,15.75
2018-02-15,34,45.0,,0.45,15.3
2018-02-16,33,45.0,,0.45,14.85
2018-02-17,28,45.0,,0.45,12.6
2018-02-18,29,40.0,False,0.4,11.600000000000001
2018-02-19,26,40.0,,0.4,10.4
2018-02-20,32,40.0,,0.4,12.8
2018-02-21,30,40.0,,0.4,12.0
2018-02-22,29,40.0,,0.4,11.600000000000001
2018-02-23,25,40.0,,0.4,10.0
2018-02-24,23,40.0,,0.4,9.200000000000001
2018-02-25,21,32.0,False,0.32,6.72
2018-02-26,26,32.0,,0.32,8.32
2018-02-27,25,32.0,,0.32,8.0
2018-02-28,25,32.0,,0.32,8.0
2018-03-01,65,32.0,,0.32,20.8
2018-03-02,67,32.0,,0.32,21.44
2018-03-03,61,32.0,,0.32,19.52
2018-03-04,50,34.0,False,0.34,17.0
2018-03-05,60,34.0,,0.34,20.400000000000002
2018-03-06,70,34.0,,0.34,23.8
2018-03-07,85,34.0,,0.34,28.900000000000002
2018-03-08,79,34.0,,0.34,26.860000000000003
2018-03-09,89,34.0,,0.34,30.26
2018-03-10,60,34.0,,0.34,20.400000000000002
2018-03-11,62,34.0,False,0.34,21.080000000000002
2018-03-12,75,34.0,,0.34,25.500000000000004
2018-03-13,59,34.0,,0.34,20.060000000000002
2018-03-14,75,34.0,,0.34,25.500000000000004
2018-03-15,100,34.0,,0.34,34.0
2018-03-16,76,34.0,,0.34,25.840000000000003
2018-03-17,65,34.0,,0.34,22.1
2018-03-18,85,32.0,False,0.32,27.2
2018-03-19,75,32.0,,0.32,24.0
2018-03-20,70,32.0,,0.32,22.400000000000002
2018-03-21,68,32.0,,0.32,21.76
2018-03-22,72,32.0,,0.32,23.04
2018-03-23,63,32.0,,0.32,20.16
2018-03-24,51,32.0,,0.32,16.32
2018-03-25,45,30.0,False,0.3,13.5
2018-03-26,65,30.0,,0.3,19.5
2018-03-27,62,30.0,,0.3,18.599999999999998
2018-03-28,67,30.0,,0.3,20.099999999999998
2018-03-29,81,30.0,,0.3,24.3
2018-03-30,91,30.0,,0.3,27.3
2018-03-31,61,30.0,,0.3,18.3
2018-04-01,99,30.0,False,0.3,29.7
2018-04-02,98,30.0,,0.3,29.4
